标题,观看量,弹幕量,上传时间,up主
Python最好的IDE：VS Code,4355,29,2020-04-01,麦叔编程
【闲视】Python教程:使用Python-OpenCV实现二维码扫描,600,7,2020-04-03,汝等看好我是你乔哥
视频演示如何玩转一个开源项目 |如何运行+如何读代码 |顺便讲讲IDEA和Spring Boot |Java/Python/C语言/C++项目均适用 |视频教程,11.8万,920,2019-05-28,CodeSheep
【超炮3 OP Final Phase】Python字符画 | 众所周知，老婆们的本质就是一堆数据(狗头保命)...,350,2,2020-04-03,吃薯条要蘸蓝莓酱
打造最适合自己的vscode，写出规范化代码，从这几个基本概念开始 | 大厂vscode使用情况 | python | javascript,3.0万,104,2020-02-23,是落拓呀
资源分享视频001（你想要的三体和python我都有）,586,2,2020-04-03,平平无奇小小周
【文科妹子爱编程】B站究竟有多少博士UP主？文科女博士零基础自学python爬虫一周成果,5.4万,128,2020-01-03,王大可bu是学霸
用Python开发双人对战乒乓球小游戏,5.6万,112,2019-12-28,麦叔编程
【技术分享】利用Python制作动态疫情地图 || 疫情数据可视化（数据截止2020年3月12日）,1.1万,12,2020-03-14,莫须臾w
培训了python真的年薪40万吗，老程序员回答10个问题,4.1万,69,2020-02-07,我是程序汪
UP原创的、不受欢迎的《负基础Python教程》,10.4万,3354,2019-01-24,偶尔有点小迷糊
微信词达人python辅助答题，简介处下载,152,3,2020-04-04,一惭何知夏
"nodejs,go,python,php这些后端技术哪个更有前景更有前途呢？",500,1,2020-04-04,丁哥开讲
Excel+Word+PPT全自动办公Python教学，学会从此不加班,1.5万,4,2020-02-15,快乐学习盯
[最新2020春季深度学习课程]使用Python3、Tensorflow2与Keras学习深度学习（强推！）,7354,10,2020-03-03,啥都会一点的研究生
纯Python实现CNN识别手写体数字+GUI展示 MNIST数据集【附源码】,2.1万,8,2020-02-07,HamlinZheng
Python数据分析师特训营全套84节视频完结版2020,4843,0,2020-03-17,卡里嘎多li
esp8266 接入腾讯QQ 教程 云服务器 python,9823,14,2020-03-15,树莓的小创意室
python爬取虎牙主播，免费爬些想看的东西，咳咳,5.2万,76,2020-01-15,IT-哆哆
2020年Python系统性入门基础20讲视频完结版兼答疑服务-手机端观看友好/小白零基础友好,2.3万,184,2020-01-09,云开见明教育科技
大白话Python爬虫教程—真正小白能听懂的爬虫入门教程！,303,0,2020-04-04,是轲轲呀
【新年推荐】Python自动化办公，办公自动化做职场强人完整版,2.4万,43,2020-01-23,嘻嘻有料
30个小时搞定Python网络爬虫（全套详细版）,4646,56,2020-03-20,希望星选
三分钟学会python和matlab交互,1.5万,39,2020-02-17,MTC_Follower
【文科妹子爱编程】自学python爬虫第三周 继续爬B站 附源代码,3.1万,82,2020-02-08,王大可bu是学霸
2020千锋Python入门视频全套全开源（最新版）,2530,28,2020-03-28,千锋教育
嫌每天给心上人打起床电话太麻烦？可以用树莓派+Python自动操作，老乡直夸当暖男省力多了,3.6万,39,2020-01-19,命叔炸机
[GTAV]名钻python光速破解 赌场游戏爬着走,4.3万,27,2019-12-20,Yuandiaodiaodiao
python数据结构与算法,123,0,2020-04-06,跟着Phoenix学Python
Python全套视频教程，史上最经典,1.8万,55,2020-02-12,快乐学习的代码狗
从零开始，编程制作一个五子棋游戏！【Python】,5.1万,83,2019-10-07,Halo_O_Wang
35行python代码100万？人工智能就这么光速入门了,2085,11,2020-04-01,小波说xiaoboswift
【manim】使用Python编程一次性搞定全部七声音阶,2586,1,2020-03-29,ykykyukai
Python400集（第一季）,20.8万,1521,2018-07-18,vecjt
【零基础学Python】老九零基础学习编程系列之四 老九学堂徐嵩老师主讲,1.2万,385,2020-02-25,老九学堂
Python面向对象，从农药到吃鸡，全面掌握Python面向对象,7445,224,2020-03-05,麦叔编程
澳大利亚网友养的地毯蟒（Jungle Carpet Python）吞下整条沙滩巾，及时带到了兽医诊所并成功拉出,1.4万,16,2020-03-16,YouTuber精选
每天半小时，一个月搞定Python爬虫,4302,5,2020-03-16,小虫_jiabao
"互联网圈顶级流量,你不了解的Python的前世今生,负门槛科普",1.5万,392,2020-02-01,冬至饮雪
Python 并发编程,3586,0,2020-03-22,POUR_OVER
英语老师看了想打人：使用Python自动完成新理念测试是什么体验？,5.0万,42,2019-12-20,秋壳壳儿
opencv 眼球追踪 python 小白学习机器视觉,8217,6,2020-03-18,树莓的小创意室
Python黑客编程之web层安全,1.4万,32,2020-02-03,白帽子搞安全
Python3高级编程,2126,3,2020-03-28,踏雪寻梅花喵
【尹成学院】Python3 从菜鸟到高手 #清华大牛尹成老师主讲,4404,9,2020-03-18,逆风微笑的代码狗
Python+Anaconda+PyCharm的安装和基本使用【适合完全零基础】不只是教你如何安装，还告诉你为什么这么安装,1.1万,70,2020-02-22,ljp_summer
Python从负基础到入门（一）给Python安个家,2.4万,217,2019-12-06,偶尔有点小迷糊
在手机和平板上也能用Python编程了？ | Pythonista软件介绍 | 移动端编程的意义,5.6万,65,2019-11-16,爱学习的大超-
《跟着孙兴华学习Numpy基础》python Numpy 教程,58,0,2020-04-06,孙兴华zz
Python Matplotlib,3316,0,2020-03-22,POUR_OVER
用Python画了一支红小豆PV！【海伊】助唱【请吃红小豆吧】第三季op,2.3万,79,2020-02-07,醤醤醤醤酱
【沈醉】大二python实习生接受社会毒打vlog走出舒适圈痛苦996,12.5万,250,2019-07-27,英俊的沈醉
用Python的turtle库爆肝一只小狐狸,1.4万,45,2020-02-27,苏梧兰
Python为什么用起来这么顺手,3226,13,2020-03-26,盛栀橙
Python 数据结构与算法,2820,1,2020-03-23,POUR_OVER
Python 处理 Excel,1.9万,59,2020-02-07,白月黑羽Python
Python数据分析之Numpy/Pandas/Matplotlib/Seaborn/【大全】数据获取清理可视化,2.2万,53,2020-01-07,云开见明教育科技
浙江大学_Python程序设计(合集),1.8万,90,2020-01-22,学工科的皮皮志
Python Web开发之Django美化-使用SimpleUi,9590,9,2020-03-12,菜鸡国光
树莓派变视频监控(python方案),6568,13,2020-03-09,_jufeng_
填一下第三期Python视频的坑，顺便聊聊诗和远方,1.5万,214,2020-02-03,冬至饮雪
PYTHON爬虫10分钟速学系列教程【老陈打码】,8632,53,2020-03-04,老陈打码
143分钟入门python，最简单的科普教程！,3096,24,2020-03-22,5分钟学习
Python 人工智能和聊天机器人实战,2834,3,2020-03-22,POUR_OVER
2018年最新Python3.6网络爬虫实战,27.7万,6472,2018-02-03,神奇的老黄
(全)基于Python的机器学习经典数学与算法知识讲解,3812,3,2020-03-16,啥都会一点的研究生
赚钱难？小白也可以，用python做股票预测分析交易，躺着赚钱的副业,1.5万,156,2020-02-10,IT-哆哆
【Python游戏】1小时开发飞机大战游戏-Pygame版本【课程编号210】,1.3万,128,2020-02-13,麦叔编程
在家无聊写了一个视觉检测戴口罩程序，基于OpenCV和Python的戴口罩检测程序,1.8万,24,2020-02-09,云敬山
Python全系列教程全栈工程师,5.0万,203,2019-06-08,Nightwalks-Film
Python数据分析实战——股票市场分析,8304,6,2020-02-26,万物皆可花椒油
老男孩Python全栈开发29期全套(2020年3月开班)-同步更新,2580,10,2020-03-24,小猿取经
Python 神经网络(TensorFlow),2644,4,2020-03-23,POUR_OVER
这可能是你能听下去的python系列课，声音性感，代码风骚,1.2万,19,2020-02-13,IT-哆哆
原价699元的30个小时搞定Python网络爬虫,6.9万,1313,2019-06-23,爱笑的程序狗
中国石油大学（华东）Python基础课程系列,1.5万,45,2019-10-18,中国石油大学华东
Python也能控制单片机？MicroPython了解一下。,5.6万,88,2019-09-21,Nice子杰
Python处理Excel一列变多列,2244,6,2020-03-28,蚂蚁学Python
30分钟搞定 vscode 和 python 开发环境搭建,2739,10,2020-03-24,凸头统治地球
疫情结束在家待业？教你用Python批量爬取某钩网站招聘信息，快速筛选出自己心仪的工作！,1855,15,2020-03-30,python学习者
北京大学-数据结构与算法Python版,5646,12,2020-02-27,码出未来
从零开始创建一个简单的Python小工具 PART II 【NUKE教程】,374,0,2020-04-04,烈焰VFX
2020最新Python爬虫开发入门,3084,15,2020-03-20,程序猿不秃头
Python3快速入门数据分析,8209,11,2020-02-15,洺宇吖
Python从负基础到入门（二）：显示字符画,1.7万,233,2019-12-20,偶尔有点小迷糊
2019年前3编程语言推荐 | 转行计算机语言推荐 | top3编程语言 | python | Java | C++ | Golang | Javascript,5.0万,407,2019-10-18,是落拓呀
录课翻车实录！正片里被剪掉的那些尴尬场面~《Python编程与实践》意外集锦~,2350,12,2020-03-30,爱可可-爱生活
Python 网络编程,2708,3,2020-03-22,POUR_OVER
微软Python编程入门教程,4224,8,2020-03-15,爱可可-爱生活
五分钟学会使用PYTHON爬取全网妹子图,1.6万,47,2020-01-29,土豆键盘
每天10分钟学会python自动化办公,4445,5,2020-03-14,小虫_jiabao
python全栈开发（入门到放弃）,27.2万,9563,2017-08-23,CatorJ
"用Python写外挂?凭本事写的代码, 怎么能够算外拐作弊呢? 用python找出色差",2.3万,9,2020-02-02,史上最不正經的生物狗
【python办公自动化】给非程序员看的教程,1.3万,22,2020-01-27,明明很爱你-
Python数据分析四大企业实战项目详解,1.5万,31,2020-01-04,云开见明教育科技
Python 函数式编程,2202,2,2020-03-22,POUR_OVER
2020Python数据分析师特训营,8361,5,2020-02-12,淡然小哥
