标题,观看量,弹幕量,上传时间,up主
【#3.9.8】现学python给大家抽奖的阿萨或许是鉴,2870,11,2020-01-21,阿萨Aza
python必学_4天学会python量化交易,3342,3,2020-01-18,快乐学习的代码狗
国家精品公开课——Python网络爬虫与信息提取,4086,29,2019-12-31,机器学习与Python实战
[工具篇] 日常报表之python读写excel,5945,4,2019-12-24,路飞学城小媛老师
2019千锋Python爬虫全套视频（最经典）,4186,6,2019-12-12,佐藤Edward
【麻省理工学院】Python编程和计算机科学导论公开课（中英字幕）,3848,1,2019-12-05,Python与人工智能
python数据分析与机器学习实战,4831,3,2019-11-28,Panthera_Leo
台湾高校老师讲解《Python for Data Analysis》 -- part02,7629,14,2019-10-04,股神回忆录
Python数据分析实例讲解 最经典数据分析演示 链家房产成交分析,7734,0,2019-10-03,人工智能课程
3倍速 Python Web 体系课 | 更高效更踏实，2019 全新录制,8267,13,2019-09-30,麻瓜编程
【李兴华带你玩编程】Python小白教程,1.5万,110,2019-09-23,YOOTK沐言优拓
零基础学Python:教你一节课制作一个简单的学生信息管理系统,1.0万,6,2019-09-22,python学习者
27周学完python自动化-第九周,8032,2,2019-09-22,小渔学长
27周学完python自动化-第四周,9303,5,2019-08-13,小渔学长
Python从入门到进阶的那些事,1.2万,26,2019-07-20,程序小样
Python从入门到精通,3.1万,196,2019-01-23,有毒的疾风
Python黑客有多厉害？只要你的手机连了他的WIFI就能控制你的手机！,3.3万,38,2018-12-08,Python编程语言
【油管搬运】Learn Python - 学习Python - 初学者全程（4小时720p完整版）,2.0万,453,2018-12-06,拿着叉子的闰土
【编程开发】清华大牛尹成python分布式爬虫（完结）,3.4万,141,2018-09-09,逆风微笑的程序猿
嵩天教授的Python数据分析与展示课程,4.2万,854,2018-02-26,zhangpeter
up为研究玄学，竟自学python半个月编写倒立摆模拟器,198,0,2020-03-30,云端FFF
python3爬虫从入门到精通,542,3,2020-03-21,安替-AnTi
python+selenium软件测试 自动化 项目实战（web自动化，功能自动化，UI自动化）,997,2,2020-03-16,桃子软件测试
全民一起玩Python 基础篇+提高篇,1290,0,2020-03-09,蝶科技
【Python教程】输出 - print,1646,1,2020-03-07,__huhu__
利用Python实现目标监控，这样的神奇技术你见过吗？,1403,5,2020-03-06,Python编程语言
【Python】从入门到金融实战 上海财经大学,1392,3,2020-02-26,一股清流君
python基础 如何安装与使用Anaconda jupyter notebook,2795,11,2020-02-23,绥绥葭
OpenCV计算机视觉实战(Python版),1885,13,2020-02-20,萧曵__
扒一扒Python发展史_程序猿也未必知道,1625,39,2020-02-18,心宇三三
老男孩Python全栈工程师第24期,2389,22,2020-02-16,三秋叶123
2020年新Python编程系统性基础入门20讲完结版课,2284,5,2020-02-12,蓝精灵永恒
#python# python数据分析(全),1928,1,2020-02-09,自学IT的工程狮
【Python】手写数字识别，用TensorFlow实现最简单的卷积神经网络,2627,4,2020-02-07,52Hz_的鲸
Python 3.8 安装详解 | 选项怎么选？安装结果都有哪些文件？,3329,7,2020-02-02,DavyCloud
27-Python进阶（上）,5702,0,2020-01-27,热血影视剧
【汉言】当我们在学Python时，我们究竟在满足什么？,4183,5,2020-01-19,Cheng汉桑
Python &amp; Sklearn 支持向量机SVM理论与实例（基础）,4281,74,2020-01-14,元气小南瓜
python3数据分析与挖掘实战,2531,25,2020-01-13,Iammyself001
【更新中/Python教程】Python语言程序设计，和up一起玩Python！（幽蓝伊梦）,2406,14,2020-01-10,幽蓝伊梦
Python程序员打开新年的方法 - 开发1个时钟小应用,4668,16,2020-01-03,麦叔编程
【Python】如何安装Python运行环境（详细解释过程）,5062,12,2019-12-18,__huhu__
【尚学堂.百战程序员】2019年最新高淇python400集,6577,35,2019-12-12,爱分享的小宅
六小时带你实战Python爬虫,4433,41,2019-12-03,IT网红
Python零基础入门学习（SiKi学院）飞机大战 - 第九季,5200,196,2019-11-29,siki学院
Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季,5077,74,2019-11-10,siki学院
Python机器学习应用[北京理工大学][礼欣、嵩天],8815,58,2019-11-04,我也来到二次元
2019全新Python全栈+自动化+爬虫+数据分析+go区块链+AI全能高薪工程师课程,7301,1,2019-10-14,码小菲
【编程基本功】什么是强/弱类型，动态/静态类型语言？| Python是什么类型？| Javascript呢？| 程序员 | IT | 编程,9560,38,2019-09-29,是落拓呀
Python+人工智能就业班⑦：Python网络爬虫基础+进阶+Scrapy框架项目实战,1.3万,183,2019-08-18,真全栈程序员
剑指offer（Python版本）-数据结构与算法,1.1万,30,2019-08-09,My_kingroad
人生苦短快用Python之玩转Excel,1.3万,9,2019-08-03,序员说
2019 Python黑客编程：安全工具开发,8458,11,2019-07-15,爱笑的程序狗
【白金级】Python入门教程,9479,10,2019-07-07,一只学弱狗
给我一个QQ号或者手机号，我就能用Python查到你的地址！,2.0万,11,2019-06-01,python数据分析
自动化测试-selenium（python版）,1.9万,142,2019-05-31,爱笑的程序狗
传智播客/黑马程序员-数据结构与算法全套精讲(python版),1.8万,26,2019-04-26,神奇的弟弟inty
Linux 简易教学 (机器学习/深度学习 莫烦 Python 教程),5.7万,305,2017-11-03,莫烦Python
Python爬虫开发思维，学会90%的网站直接无视,5.1万,1033,2017-07-29,嗨学Python
【千锋教育】python-2020最新培训视频-mysql,70,0,2020-04-03,无痕天然呆
【Python】LeetCode 210. Course Schedule II 中文解释,142,0,2020-04-02,happygirlzt
Python 入门教学课程（全26集）--台大彭彭老师制作,89,0,2020-04-03,坡哥123
没有方向，不知道如何学习？2020最全的Python学习路线都在这里了（含学习教程）,33,0,2020-04-03,勉强是锦鲤哦
Python爬虫教程：微博数据采集,377,2,2020-03-27,Python编程语言
Python开发教程：颜值检测为你心目中的女神进行打分，再也不用担心因点评而感到焦虑,147,0,2020-04-02,极客夜读
Python爬虫教程：Scrapy采集三国小说！,264,3,2020-03-31,Python编程语言
掌握Python爬虫视频，简单入门,9,0,2020-04-05,博仙_努力奋斗
【教程】教你如何编程让好基友优雅地说出“我是傻*”（基于python）,156,0,2020-03-30,一摩尔大米君
【不可能学不会的python教程】02python的元组数组以及字典的操作,328,12,2020-03-25,浪晋的测试小讲堂
Python可视化50图,486,0,2020-03-23,萧曵__
Python3数据分析与挖掘建模实战,879,3,2020-03-10,colorli
Python编程表白 我被撩的老脸通红,1468,12,2020-03-07,胶皮睿
游戏引擎学习心得之开篇废话：Scratch、GameMaker、Unity、Godot和Python写弹球小游戏是个什么体验？,1763,2,2020-03-07,微光照前行
Python入门学习,1075,0,2020-03-05,Python与人工智能
Python数据分析0-100,1283,0,2020-02-25,yxqmolly0615
小白必看 - python的学前准备,2022,7,2020-02-22,i数据的程序猿
Django+Python环境搭建和Mysql连接,2204,6,2020-02-17,Mike高
Python3.7 36讲零基础速成,2088,5,2020-02-13,自渡k-
2019千锋Python爬虫全套视频（最经典）,1637,1,2020-02-11,快乐学习的代码狗
一节课拿下python爬虫， 爬取男生喜欢的图片，嘿嘿嘿 （python爬虫基础速学实战）,4050,152,2020-01-19,IT-哆哆
Python统计分析基础讲解（描述性统计分析/假设检验/卡方分析和方差分析/相关分析）,3180,4,2020-01-04,云开见明教育科技
【尹成学院】最新python 机器学习与数据挖掘的项目实战（完）,6268,3,2019-10-11,逆风微笑的代码狗
Python/Python开发/Python入门/Python学习/Python编程/Python基础,8571,4,2019-08-14,马哥高薪IT实战
Python全栈从入门到精通,9920,13,2019-07-16,视学算法
【python教程】通用爬虫模块使用——requests库、selenium库、正则表达式、动态爬取html网页,1.4万,240,2019-06-27,luvm的小屋
【Python】PyAutoGUI - 注意了，该写个游戏辅助了！,1.1万,64,2019-06-08,小马视频
企业级开发那些事儿 |大公司是如何做信息安全管理的 |程序员注意事项 |Java/Python/C语言/C++等项目管理,1.3万,197,2019-05-19,CodeSheep
北京理工 国家精品《Python语言程序设计 》如果对你有帮助，记得收藏、点赞、投币支持一下哦！！,1.3万,59,2019-04-26,愚甘杂货铺
一节课教你用Python打造一个简单的信息管理系统,2.2万,60,2019-03-25,python学习者
自从学会python后，我看电影再也没有用过VIP（附代码）,2.8万,26,2018-12-08,17874151655_bili
【视频教程】liao雪峰-python-基础教程（共259集，分三次上传，侵删）（中）,2.5万,121,2018-11-17,我肛肛好
【合集】计算机科学和Python编程导论---美国麻省理工学院MIT---计算机入门课程---2016年秋季学期,2.5万,129,2018-07-29,123小棕熊
【Git教程】《极客Python之Git实用教程》（小甲鱼）,3.0万,421,2018-07-26,鱼C-小甲鱼
Threading 学会多线程 (莫烦 Python 教程),5.5万,600,2017-12-04,莫烦Python
Python黑客基础3：zip文件暴力破解（我是谁，我在哪？）,4.0万,352,2017-07-04,王子饼干___
如何开发音频驱动？用python成吗？,211,0,2020-03-31,丁哥开讲
